name,long_name,description,type,nullable,unit,file
price_type,Price Type,Type of source data for assigning price: survey of communities or regional average,string,TRUE,null,public_fuel_prices.csv
reporting_season,Reporting Season,"Season for which the fuel data was reported, Winter or Summer",string,TRUE,null,public_fuel_prices.csv
reporting_year,Reporting Year,Four digit year as Common Era (CE) for which the fuel data was reported,integer,TRUE,null,public_fuel_prices.csv
source,Source of Fuel Price Data,"Name of reporting entity if surveyed, or DCRA if regionally averaged",string,TRUE,null,public_fuel_prices.csv
year,Year,Four digit year as Common Era (CE) when the population was measured,integer,FALSE,null,public_population.csv
year,Year,Four digit year as Common Era (CE) for which monthly reported generation was summed,integer,FALSE,null,public_yearly_generation.csv
year,Year,Four digit year as Common Era (CE) for which monthly reported generation was summed,integer,FALSE,null,yearly_generation.csv
residents_employed,Residents Employed,Number of residents ,integer,TRUE,null,default
unemployment_insurance_claimants,Unemployment Insurance Claimants,Number of people who claimed unimployment insurance,integer,TRUE,null,default
measurement_year,Year,Four digit year as Common Era (CE),integer,FALSE,null,public_employment.csv
residential_rate,Residential Rate,Price of electricity as US dollars per killowatt hour for residential customers,number,TRUE,USD//kWh,default
commercial_rate,Commercial Rate,Price of electricity as US dollars per killowatt hour for commercial customers,number,TRUE,USD//kWh,default
industrial_rate,Industrial Rate,Price of electricity as US dollars per killowatt hour for industrial customers,number,TRUE,USD//kWh,default
is_most_recent,Most Recent Population,"Answers the question: Is this the most recent population estimate? (""1"" for yes, and ""0"" for no)",integer,TRUE,null,public_populations_ages_sexes.csv
estimated_pop_age_10_14,Estimated Population 10-14 Years Old,Estimated population between ages 10-14 years old,number,TRUE,null,default
estimated_pop_age_15_19,Estimated Population 15-19 Years Old,Estimated population between ages 15-19 years old,number,TRUE,null,default
estimated_pop_age_18_plus,Estimated Population 18+ Years Old,Estimated population 18+ years old,number,TRUE,null,default
estimated_pop_age_20_24,Estimated Population 20-24 Years Old,Estimated population between ages 20-24 years old,number,TRUE,null,default
estimated_pop_age_21_plus,Estimated Population 21+ Years Old,Estimated population 21+ years old,number,TRUE,null,default
estimated_pop_age_25_34,Estimated Population 25-34 Years Old,Estimated population between ages 25-34 years old,number,TRUE,null,default
estimated_pop_age_35_44,Estimated Population 35-44 Years Old,Estimated population between ages 35-44 years old,number,TRUE,null,default
estimated_pop_age_45_54,Estimated Population 45-54 Years Old,Estimated population between ages 45-54 years old,number,TRUE,null,default
estimated_pop_age_5_9,Estimated Population 5-9 Years Old,Estimated population between ages 5-9 years old,number,TRUE,null,default
estimated_pop_age_55_59,Estimated Population 55-59 Years Old,Estimated population between ages 55-59 years old,number,TRUE,null,default
estimated_pop_age_60_64,Estimated Population 60-64 Years Old,Estimated population between ages 60-64 years old,number,TRUE,null,default
estimated_pop_age_62_plus,Estimated Population 62+ Years Old,Estimated population 62+ years old,number,TRUE,null,default
estimated_pop_age_65_74,Estimated Population 65-74 Years Old,Estimated population between ages 65-74 years old,number,TRUE,null,default
estimated_pop_age_65_plus,Estimated Population 65+ Years Old,Estimated population 65+ years old,number,TRUE,null,default
estimated_pop_age_75_84,Estimated Population 75-84 Years Old,Estimated population between ages 75-84 years old,number,TRUE,null,default
estimated_pop_age_85_plus,Estimated Population 85+ Years Old,Estimated population 85+ years old,number,TRUE,null,default
estimated_pop_age_median_age,Estimated Population Median Age,Estimated population median age,number,TRUE,null,default
estimated_pop_total,Estimated Population All Ages,Estimated population of all ages,number,TRUE,null,default
estimated_pop_age_under_18,Estimated Population Under 18,Estimated population under 18 years old,number,TRUE,null,default
estimated_pop_age_under_5,Estimated Population Under 5,Estimated population under 5 years old,number,TRUE,null,default
estimated_pop_female,Estimated Female Population,Estimated female population,number,TRUE,null,default
estimated_pop_male,Estimated Male Population,Estimated male population,number,TRUE,null,default
estimated_pop_age_total,Estimated Total Population,Estimated total population,number,TRUE,null,default
start_year,Start Year,Beginning of the data collection period,integer,FALSE,null,default
end_year,End Year,End of the data collection period,integer,FALSE,null,default
gnis_code,GNIS Code,"The GNIS contains information about physical geographic features of many types in the United States, associated areas, and Antarctica, current and historical, but not including roads and highways or cultural features. The database holds the Federally recognized name of each feature and defines the feature location by state, county, USGS topographic map, and geographic coordinates.",integer,TRUE,null,default
regional_corporation,Alaska Native Regional Corporation,Alaska Native regional corporations were created by the Alaska Native Claims Settlement Act (ANCSA),string,TRUE,null,default
borough,Borough or Census Area Name,"Boroughs are analagous to a county in other places. Census areas are statistical subdivisions of the  the Unorganized Borough, which does not have a government.",string,TRUE,null,default
reporting_entity,Reporting Entity,The name of the electric service area providing electricity to the community,string,TRUE,null,default
puma,Public Use Microdata Area,"Public Use Microdata Areas (PUMAs) are non-overlapping, statistical geographic areas that partition each state or equivalent entity into geographic areas containing no fewer than 100,000 people each.",string,TRUE,null,default
economic_region,DCRA Economic Region,Alaska Division of Community and Regional Affairs (DCRA) economic regions were determined based on 2013 borough and census area geography by the Alaska Department of Labor & Workforce Development.,string,TRUE,null,default
pce_eligible,PCE Eligibility,"Answers the question: Is this community eligible for the Alaska Energy Authority's Power Cost Equalization program? (""t"" for yes, and ""f"" for no) Eligibility is determined by the Regulatory Commission of Alaska under Alaska Statutes 42.45.100-170.",boolean,TRUE,null,default
latitude,Latitude,Latitude,number,TRUE,degrees N,default
longitude,Longitude,Longitude,number,TRUE,degrees E,default
tax_year,Tax Year,Four digit tax year as Common Era (CE),integer,TRUE,null,default
total_tax_rev_usd,Total Tax Revenue,Total tax revenue in U.S. Dollars (USD) for either the community or the borough,integer,TRUE,USD,default
total_sales_tax_rev_usd,Total Sales Tax Revenue,Total sales tax revenue in U.S. Dollars (USD) for either the community or the borough,integer,TRUE,USD,default
property_tax_rev_usd,Property Tax Revenue,Propery tax revenue in U.S. Dollars (USD) for either the community or the borough,integer,TRUE,USD,default
total_rev_for_special_taxes_usd,Total Special Tax Revenue,Total special tax revenue in U.S. Dollars (USD) for either the community or the borough,integer,TRUE,USD,default
did_community_report,Community Report,"Answers the question: Did the community report these taxes?  (""t"" for yes, and ""f"" for no)",boolean,TRUE,USD,default
is_most_recent,Most Recent Taxes,"Answers the question: Are these the most recent values for these taxes?  (""t"" for yes, and ""f"" for no)",boolean,TRUE,USD,public_taxes.csv
heating_degree_days,Heating Degree Days,"Heating degree days (HDD), defined in the U.S. as degrees F below 65 multiplied by duration in days, quanitifies energy needed to heat a building over a year's time",integer,TRUE,HDD,public_communities.csv
