name,long_name,description,type,nullable,unit,file
intertie_current_intertie_name,Intertie Name,Name of the intertie derived from a the first community (i.e. the index community) or the name of the geographic area as defined in the intertie table.,string,,null,lookup_plants_2025-03-10.csv
latitude,Plant Latitude,Approximate latitude of the facility,number,,degrees N,lookup_plants_2025-03-10.csv
longitude,Plant Longitude,Approximate longitude of the facility,number,,degrees E,lookup_plants_2025-03-10.csv
notes,Notes on Plants,Details regarding certain plants,string,,null,lookup_plants_2025-03-10.csv
operator_ak_operator_id,Operator ID,"A unique identifier developed to allow for for the combination of PCE, EIA, and other data sources as defined in the operator table.",string,,null,lookup_plants_2025-03-10.csv
operator_operator_name,Operator Name,Name of the certified utility or independent power producer generating electricity and/or servicing a particular community or communities as defined in the operator table.,string,,null,lookup_plants_2025-03-10.csv
pce_reporting_id,PCE Accounting Code,Six Digit Accounting code used by AEA for PCE reporters,integer,,null,lookup_plants_2025-03-10.csv
phases,Plant's Power Phase,Either Single-Phase (1) or Three-Phase (3) Power,integer,,null,lookup_plants_2025-03-10.csv
plant_name,Plant Name,Name of the facility owned/operated by a certified utility or independent power producer responsible for the day-to-day operation of the generators.,string,,null,lookup_plants_2025-03-10.csv
aea_energy_region,AEA Energy Region,One of 11 regions defined by the Alaska Energy Authority for statistical and analysis purposes,string,,null,lookup_salesreport_2025-03-03.csv
communities_reported,Communities Reporting Together,A note describing the communities or region that report together,string,,null,lookup_salesreport_2025-03-03.csv
eia_operator_id,EIA operator ID,"Operator identification number assigned by the Energy Information Administration as a five digit string of numbers, padded with leading zeros shared with the operator table",string,,null,lookup_salesreport_2025-03-03.csv
gnis_feature_id,Index Community GNIS Code,Numeric identifier for the main (index) community of the reporting community or group of communities determined by Geographic Names Information System (GNIS) code maintained by the USGS,integer,,null,lookup_salesreport_2025-03-03.csv
index_community,Index Community Name,Name of the main (index) community of the reporting community or group of communities,string,,null,lookup_salesreport_2025-03-03.csv
intertie_current_intertie_id,Intertie ID,"The Intertie id consists of a three digit intertie number followed by the four digit year when the intertie was expanded as defined in the intertie table. If the last four digits are 0000, then the intertie has not been expanded.",string,,null,lookup_salesreport_2025-03-03.csv
intertie_current_intertie_name,Intertie Name,Name of the intertie derived from a the first community (i.e. the index community) or the name of the geographic area as defined in the intertie table.,string,,null,lookup_salesreport_2025-03-03.csv
latitude,Community Latitude,Latitude of the main (index) community of the reporting community or group of communities,number,,degrees N,lookup_salesreport_2025-03-03.csv
longitude,Community Longitude,Longitude of the main (index) community of the reporting community or group of communities,number,,degrees E,lookup_salesreport_2025-03-03.csv
notes,Notes on Sales Reporting,Details regarding the reporting entity,string,,null,lookup_salesreport_2025-03-03.csv
operator_ak_operator_id,Operator ID,"A unique identifier developed to allow for for the combination of PCE, EIA, and other data sources as defined in the operator table.",string,,null,lookup_salesreport_2025-03-03.csv
operator_operator_name,Operator Name,Name of the certified utility or independent power producer generating electricity and/or servicing a particular community or communities as defined in the operator table.,string,,null,lookup_salesreport_2025-03-03.csv
pce_reporting_id,PCE Accounting Code,Six Digit Accounting code used by AEA for PCE reporters,integer,,null,lookup_salesreport_2025-03-03.csv
rca_cpcn,Certificate of Public Convenience and Necessity,The number assigned by the Regulatory Commission of Alaska (RCA) for the Certificate of Public Convenience and Necessity (CPCN) shared with the operator table,integer,,null,lookup_salesreport_2025-03-03.csv
reporting_name,Reporting Name,Name of the entity reporting the sales,string,,null,lookup_salesreport_2025-03-03.csv
sales_reporting_id,Reporting ID,Unique identifier generated for this table to represent the entity reporting the sales,string,FALSE,null,lookup_salesreport_2025-03-03.csv
fuel_type_code,Fuel Type Code,2 or 3 letter alphanumeric code used by the Energy Information Administration to identify energy sources for electricity generation,string,FALSE,null,lookup_fuelcode_2023-11-08.csv
fuel_type_definition,Fuel Type Definition,Label for the 2 or 3 letter alphanumeric code used by the Energy Information Administration to identify energy sources for electricity generation,string,TRUE,null,lookup_fuelcode_2023-11-08.csv
prime_mover_code,Prime Mover Code,2  letter alphanumeric code used by the Energy Information Administration to identify the prime mover of electricity generation,string,FALSE,null,lookup_primemover_2023-11-08.csv
prime_mover_definition,Prime Mover Definition,Label for the 2 letter alphanumeric code used by the Energy Information Administration to identify prime movers of electricity generation,string,TRUE,null,lookup_primemover_2023-11-08.csv
community,Community Name,Name of the community,string,FALSE,null,lookup_grids_2025-04-17.csv
grid_id,Grid ID,Three digit intertie number from the intertie table.,integer,FALSE,null,lookup_grids_2025-04-17.csv
ak_grid_id,Intertie ID,"The Intertie id consists of a three digit intertie number followed by the four digit year when the intertie was expanded. If the last four digits are 0000, then the intertie has not been expanded. From the intertie table.",string,TRUE,null,lookup_grids_2025-04-17.csv
grid_name,Intertie Name,Name of the intertie derived from a the first community (i.e. the index community) or the name of the geographic area.  From the intertie table.,string,TRUE,null,lookup_grids_2025-04-17.csv
connection_year,Connection Year,The year when the community is connected to the grid. 0 indicates it was connected when record keeping began in 1985.,integer,TRUE,null,lookup_grids_2025-04-17.csv
termination_year,Disconnection Year,The year when a community was disconnected from a grid in order to connect to a different grid. 9999 indicates the community was still connected when this table was created.,integer,TRUE,null,lookup_grids_2025-04-17.csv
